altitude,density,u,v
0.0,1.24,0.0,0.0
11.0,1.242677245232213,-0.20939698021500686,5.996344962114574
29.0245210645889,1.2490050108907473,-0.6381209450633692,6.230136592119312
37.0020452871389,1.2479990512584738,-0.7824541930811082,6.23563549208181
43.7319875720971,1.2471812447394854,-0.7437745733858061,6.13633830727212
50.6727583971824,1.2463321650323858,-0.5701716323781998,6.062957861506635
57.4992415523182,1.2455006907744306,-0.4136266529033425,6.038998471873275
64.3160405037024,1.244671097356909,-0.4412507820626172,6.088225325028248
71.1579280276861,1.2439987399069816,-0.6742016259785605,6.157701890558046
77.9632061154666,1.2431539312276636,-0.6082496268542821,6.285582788595
84.8673125457969,1.2423392814412606,-0.5987933639636033,6.404644311152367
91.8647273743895,1.2415104411091828,-0.459070917895906,6.543995687585817
98.8939895482345,1.240677843773836,-0.2661450964775673,6.587853948165711
105.897381589015,1.2398927706555567,-0.16544657798604706,6.5142982508150284
112.901037165436,1.2391079895670873,-0.17380318864767735,6.39815534001763
119.847597307502,1.238332684948505,-0.26323876578940686,6.276391089816044
127.571295268708,1.2375291667073582,-0.38700293305677813,6.286590880752084
133.718763291455,1.2369608795689084,-0.44488566456273915,6.437359679427245
140.678844568744,1.2362280919971869,-0.40407003888165605,6.5914222509377876
147.637063632561,1.2355390075445178,-0.3362098655235157,6.622239296956479
154.449800393134,1.234872434289146,-0.3123966800537053,6.513958969128895
161.345302784332,1.2341493237576378,-0.3721873741223989,6.428734630265331
168.230055952546,1.2335161465538842,-0.4328575679258379,6.595593529828869
175.142970797161,1.2327908197443522,-0.45731541443128354,6.786240632826846
182.126425851044,1.232012117645938,-0.4130890308177043,6.963798421229019
189.140222021339,1.2312285930929887,-0.3299451763297355,7.335531958718962
196.181268693503,1.230441951750539,-0.3209632095164144,7.187339381025276
203.228968103997,1.2297850156867474,-0.38793329547584177,7.035618409662603
210.218843594272,1.2289192104296953,-0.4295293875876918,7.000334449389872
217.274935191676,1.2280434128863322,-0.6031828059273407,7.046203550590705
224.305401673158,1.227172529024108,-0.7240481912308675,7.169697328260237
231.340056381124,1.2263444711530804,-0.6253359775911053,7.228671896004002
238.287418929939,1.2256610600498696,-0.45987890598446135,7.111226636118426
245.118891931394,1.2250386713153314,-0.4276444960608006,6.9015392890159415
251.892666137835,1.2242083822953762,-0.492092011556789,6.996805923636019
258.641573113349,1.223337555840159,-0.6186254757132376,7.1449984691641415
265.305900499848,1.2225667517994503,-0.582536347150598,7.356702112872083
272.063451301922,1.2218259319129596,-0.3958035850167456,7.455497139131089
278.842160353869,1.2210388294002876,-0.25177669969607647,7.370815655222549
